Modelo,Balanceamento,Precisão,Recall,F1,Precisão (0),Recall (0),F1-macro,Acurácia,|Precisão − Recall|
Random Forest,RandomUnderSampler,0.7176767926083137,0.7833333333333333,0.749022082483375,0.8582464635361744,0.8096707818930041,0.7911234272260548,0.799618320610687,0.06565654072501959
Random Forest,SMOTE-NC,0.7365335040234803,0.7733333333333333,0.7544603575610213,0.8556493087430899,0.8292181069958848,0.798337219205257,0.8078880407124682,0.03679982930985304
Random Forest,Sem balanceamento,0.7792077975679585,0.7466666666666666,0.7625567431133377,0.8475537524697956,0.8693415637860082,0.8104266786836323,0.8225190839694656,0.03254113090129196
Árvore de Decisão,RandomUnderSampler,0.7069132160298178,0.7683333333333333,0.7357487656340844,0.8491914804025001,0.8024691358024691,0.7802927396740833,0.7894402035623409,0.06142011730351549
Árvore de Decisão,SMOTE-NC,0.7338541022672131,0.7616666666666667,0.7473332884771205,0.849409470651278,0.8292181069958848,0.7932224193879771,0.8034351145038168,0.027812564399453565
Árvore de Decisão,Sem balanceamento,0.749203290315274,0.72,0.7338150417444486,0.8314887033857621,0.8508230452674898,0.7873389650532701,0.8008905852417303,0.029203290315274022
