Método,n,Média,Desvio,Q1,Mediana,Q3,Assimetria,Média (só imputados),Desvio (só imputados),KS,p-valor KS,Wasserstein,"corr(age, pclass)","corr(age, parch)",MAE mascarado,desvio MAE,RMSE mascarado,Tempo (s)
Original (observado),742,30.07974393530997,14.074505039506077,21.0,29.0,38.0,0.33296732879692076,,,0.0,1.0,0.0,-0.43782648735228935,-0.1409030540293495,,,,
KNN Imputer,916,29.864670305676857,13.283782062030026,22.0,28.0,36.199999999999996,0.32624850386955434,28.947517241379312,9.152918116896618,0.06381313339375466,0.0671039820483452,0.8438801009898889,-0.4461399609188371,-0.12600562265984389,8.68326126126126,0.24822442864287753,11.284905016743956,0.06348033299991584
MissForest,916,29.888665742346436,13.236353372007457,22.0,28.353517857142855,36.93605952380953,0.33593260936580766,29.073838045915725,8.794506982727643,0.03550536140962113,0.6618486945797198,0.9092906026114895,-0.4490226986815547,-0.11755356993075783,8.552257092590326,0.13098442414772604,11.240514595776856,1.8390443339999365
Mediana por título (Lista 2),916,29.71852620087336,12.968018243733487,22.0,30.0,36.0,0.37019336268496394,28.17816091954023,6.166981354437384,0.06002012735554785,0.09896803445189616,1.4812768806130012,-0.41780495488833486,-0.11383438526870465,9.004504504504503,0.39504722795168684,11.927636438179062,
