Modelo,Imputação,Balanceamento,Otimizador,CV F1-macro,Acurácia treino,Acurácia,Precisão,Recall,F1,F1-macro,Precisão (0),Recall (0),Tempo (s)
Árvore de Decisão,KNN Imputer,Sem balanceamento,Random Search,0.7888285831628421,0.8438864628820961,0.7862595419847328,0.7171052631578947,0.7266666666666667,0.7218543046357616,0.7741502928137486,0.8298755186721992,0.823045267489712,0.5554584589999649
Árvore de Decisão,KNN Imputer,Sem balanceamento,Bayesiana (Optuna),0.7906313351722716,0.8373362445414847,0.7913486005089059,0.7575757575757576,0.6666666666666666,0.7092198581560284,0.7732607227288079,0.8084291187739464,0.8683127572016461,1.6276759170000332
Árvore de Decisão,KNN Imputer,SMOTE-NC,Random Search,0.7857079973621086,0.8296943231441049,0.7989821882951654,0.7290322580645161,0.7533333333333333,0.740983606557377,0.7883712211581064,0.8445378151260504,0.8271604938271605,3.2040567919998466
Árvore de Decisão,KNN Imputer,SMOTE-NC,Bayesiana (Optuna),0.7829968607161374,0.8384279475982532,0.8040712468193384,0.732484076433121,0.7666666666666667,0.749185667752443,0.7942170509952193,0.8516949152542372,0.8271604938271605,4.867252791999817
Árvore de Decisão,KNN Imputer,RandomUnderSampler,Random Search,0.7803813142056463,0.8438864628820961,0.7786259541984732,0.6932515337423313,0.7533333333333333,0.7220447284345048,0.7690561908557303,0.8391304347826087,0.7942386831275721,1.0327737500001604
Árvore de Decisão,KNN Imputer,RandomUnderSampler,Bayesiana (Optuna),0.7869772085423525,0.8329694323144105,0.7862595419847328,0.7012195121951219,0.7666666666666667,0.732484076433121,0.7772589873691029,0.8471615720524017,0.7983539094650206,1.9044974160001402
Árvore de Decisão,MissForest,Sem balanceamento,Random Search,0.7826466079415144,0.8406113537117904,0.806615776081425,0.7534246575342466,0.7333333333333333,0.7432432432432432,0.7940706012134584,0.8380566801619433,0.8518518518518519,0.7421633750000183
Árvore de Decisão,MissForest,Sem balanceamento,Bayesiana (Optuna),0.7862833347110451,0.8351528384279476,0.8193384223918575,0.7687074829931972,0.7533333333333333,0.7609427609427609,0.8078742434570656,0.8495934959349594,0.8600823045267489,1.4094051669999317
Árvore de Decisão,MissForest,SMOTE-NC,Random Search,0.7791898051668044,0.8286026200873362,0.8091603053435115,0.7516778523489933,0.7466666666666667,0.7491638795986622,0.7975798864112407,0.8442622950819673,0.8477366255144033,2.1148698749998402
Árvore de Decisão,MissForest,SMOTE-NC,Bayesiana (Optuna),0.7805455638703092,0.8176855895196506,0.8015267175572519,0.7222222222222222,0.78,0.75,0.7927215189873418,0.8571428571428571,0.8148148148148148,3.2551963330001854
Árvore de Decisão,MissForest,RandomUnderSampler,Random Search,0.7785230261642833,0.7958515283842795,0.7913486005089059,0.6931818181818182,0.8133333333333334,0.7484662576687117,0.7851026940517472,0.8709677419354839,0.7777777777777778,0.4897540840001966
Árvore de Decisão,MissForest,RandomUnderSampler,Bayesiana (Optuna),0.7794570702769918,0.8231441048034934,0.8015267175572519,0.74,0.74,0.74,0.7897530864197531,0.8395061728395061,0.8395061728395061,1.3852909580000414
Random Forest,KNN Imputer,Sem balanceamento,Random Search,0.803783168762777,0.8744541484716157,0.8193384223918575,0.7687074829931972,0.7533333333333333,0.7609427609427609,0.8078742434570656,0.8495934959349594,0.8600823045267489,9.707014499999786
Random Forest,KNN Imputer,Sem balanceamento,Bayesiana (Optuna),0.8048249791663992,0.8624454148471615,0.821882951653944,0.7816901408450704,0.74,0.7602739726027398,0.8092867838722201,0.8446215139442231,0.8724279835390947,12.578881292000005
Random Forest,KNN Imputer,SMOTE-NC,Random Search,0.7980822201916703,0.8482532751091703,0.8040712468193384,0.7354838709677419,0.76,0.7475409836065574,0.7937289117616987,0.8487394957983193,0.831275720164609,11.714779041999918
Random Forest,KNN Imputer,SMOTE-NC,Bayesiana (Optuna),0.8021647436867708,0.8329694323144105,0.806615776081425,0.7341772151898734,0.7733333333333333,0.7532467532467533,0.7971254686735858,0.8553191489361702,0.8271604938271605,14.700011667000126
